drinkId	drinkName	complete	categories	glass type	image	sweet	citrusy	bitter	herbal	minty	fruity	sour	boosy	spicy	salty	creamy
95	Blue Hawaiian	1	On the Rocks, Highball	Highball	tall_blue	4	1	0	0	0	5	2	4	0	0	0
96	Presbyterian	1	On the Rocks, Highball	Highball	highball_gold	2	1	1	1	0	0	0	3	0	0	0
97	Bourbon Press	1	On the Rocks, Highball	Highball	highball_gold	2	1	2	1	0	1	0	3	0	0	0
98	Vodka Press	1	On the Rocks, Highball	Highball	highball_clear	2	1	1	0	0	0	0	2	0	0	0
99	Tequila Press	1	On the Rocks, Highball	Highball	highball_gold	2	1	0	0	0	0	0	2	1	0	0
100	Gin Press	1	On the Rocks, Highball	Highball	highball_clear	2	1	1	1	0	0	0	2	0	0	0
101	Rum Press	1	On the Rocks, Highball	Highball	highball_gold	2	1	0	0	0	0	0	2	0	0	0
102	Bourbon & Coke	1	On the Rocks, Popular, Highball	Highball	highball_brown	2	0	1	1	0	0	0	2	0	0	0
103	Vodka & Soda	1	On the Rocks, Highball, Popular	Highball	highball_clear	0	0	1	0	0	0	0	3	0	0	0
104	Vodka Gimlet	1	Shaken	Cocktail	gimlet	1	2	2	0	0	0	2	3	0	0	0
105	Gin & Soda	1	On the Rocks, Highball	Highball	highball_clear	0	0	2	3	0	0	0	3	0	0	0
106	Whiskey & Soda	1	On the Rocks, Highball	Highball	highball_gold	0	0	1	0	0	0	0	3	0	0	0
107	Bourbon & Soda	1	On the Rocks, Highball	Highball	highball_gold	0	0	1	1	0	0	0	3	0	0	0
108	Vodka & 7	1	On the Rocks, Highball	Highball	highball_clear	2	1	0	0	0	0	1	2	0	0	0
109	Whiskey & 7 (7 & 7)	1	On the Rocks, Highball, Popular	Highball	highball_gold	2	1	0	0	0	0	1	2	0	0	0
110	Bourbon & 7	1	On the Rocks, Highball	Highball	highball_gold	2	1	1	0	0	0	1	2	0	0	0
111	Rum & 7	1	On the Rocks, Highball	Highball	highball_gold	2	1	0	0	0	0	1	2	0	0	0
112	Tequila & 7	1	On the Rocks, Highball	Highball	highball_gold	2	1	1	0	0	0	1	2	1	0	0
113	Gin & 7	1	On the Rocks, Highball	Highball	highball_clear	2	1	0	2	0	0	1	2	0	0	0
114	Gin & OJ	1	On the Rocks, Highball	Highball	highball_orange	2	1	0	2	0	2	0	2	0	0	0
115	Gin & Cranberry	1	On the Rocks, Highball	Highball	highball_red	2	0	0	2	0	2	0	2	0	0	0
116	Greyhound	1	On the Rocks, Highball	Highball	highball_clear	0	4	2	1	0	1	2	3	0	0	0
117	Salty Dog	1	On the Rocks, Highball	Highball	salty_dog	0	3	2	3	0	1	2	2	0	5	0
118	Vodka & Cranberry	1	On the Rocks, Highball, Popular	Highball	highball_red	3	0	0	0	0	3	0	2	0	0	0
119	Gin & Pineapple	1	On the Rocks, Highball	Highball	highball_pineapple	3	0	0	2	0	3	0	2	0	0	0
120	Vodka & Pineapple	1	On the Rocks, Highball	Highball	highball_pineapple	3	0	0	0	0	3	0	2	0	0	0
121	Tequila & Pineapple	1	On the Rocks, Highball	Highball	highball_pineapple	3	0	0	0	0	3	0	2	1	0	0
122	Matador	1	On the Rocks	Tall	matador	3	2	0	0	0	3	3	3	2	0	0
123	Rum & Cranberry	1	On the Rocks, Highball	Highball	highball_red	2	0	0	0	0	2	0	2	0	0	0
124	Rum & OJ	1	On the Rocks, Highball	Highball	highball_orange	3	1	0	0	0	2	0	2	0	0	0
125	Madras	1	On the Rocks, Highball	Highball	madras	3	1	0	0	0	3	1	3	0	0	0
126	Cement Mixer	1	Shot	Shot	shot_creamy_brown	3	0	0	0	0	0	4	2	0	0	3
127	Chocolate Cake Shot	1	Shot, Popular	Shot	shot_brown	4	2	0	0	0	2	0	3	0	0	1
128	Coffee Nudge	1	Hot	Mug	mug_black	3	0	3	0	0	1	0	3	0	0	1
129	Creamcicle	1	Up	Martini	creamcicle	4	1	0	0	0	3	0	4	0	0	4
130	Daiquiri	1	Frozen, Tropical, Popular	Tall	tall_yellow	4	3	0	0	0	2	2	2	0	0	0
131	Dirty Mother	1	On the Rocks	Highball	dirty_mother	4	0	0	0	0	0	0	0	2	0	4
132	Dry Vodka Martini	1	Popular, Shaken, Martini	Martini	martini	0	0	4	3	0	0	0	4	0	0	0
133	Dry Gin Martini	1	Popular, Shaken, Martini	Martini	martini	0	0	4	2	0	0	0	4	0	0	0
134	Dry Manhattan	1	Classic	Cocktail	martini_gold	0	0	3	0	0	0	1	4	0	0	0
135	Dry Rob Roy	1	Classic	Cocktail	martini_gold	0	2	3	1	0	0	0	4	0	0	0
136	Dirty Gin Martini	1	Popular, Shaken, Martini	Martini	martini	0	0	3	3	0	0	1	4	0	0	0
137	Dirty Vodka Martini	1	Popular, Shaken, Martini	Martini	martini	0	0	3	2	0	0	1	4	0	0	0
138	Flaming Dr. Pepper	1	Shooter	Tall	flaming_dr_pepper	3	0	2	1	0	0	0	3	0	0	0
139	Vodka Flip	1	Shaken, Martini	Martini	martini_cream	2	0	0	0	0	0	0	2	0	0	3
140	Gin Flip	1	Shaken, Martini	Martini	martini_cream	2	0	1	1	0	0	0	2	0	0	3
141	Rum Flip	1	Shaken, Martini	Martini	martini_cream	2	0	0	0	0	0	0	2	0	0	3
142	Brandy Flip	1	Shaken, Martini	Martini	martini_cream	2	0	0	0	0	0	0	2	0	0	3
143	Whiskey Flip	1	Shaken, Martini	Martini	martini_cream	2	0	1	0	0	0	0	2	0	0	3
144	Gibson	1	Shaken	Martini	martini_cream	2	0	3	2	0	0	0	4	1	2	0
145	Girl Scout Cookie	1	Shaken	Shot	girl_scout_cookie	4	0	0	1	4	0	0	3	0	0	2
146	Godmother	1	On the Rocks, Highball	Highball	highball_gold	3	0	0	0	0	0	0	4	0	0	0
147	Grape Nehi	1	On the Rocks	Tall	grape_nehi	3	1	0	0	0	4	3	3	0	0	0
148	Grasshopper	1	Shaken	Martini	martini_green	3	0	0	0	4	0	0	3	0	0	3
149	Dark & Stormy	1	On the Rocks	Tall	tall_gold	2	2	2	2	0	1	1	3	0	0	0
150	Hairy Navel	1	On the Rocks, Highball	Highball	highball_orange	3	1	0	0	0	3	0	4	0	0	0
151	Jager Bomb	1	Shooter, Popular	Tall	jager_bomb	3	1	0	2	0	0	0	2	0	0	0
152	John Collins	1	On the Rocks	Tall	tall_gold	1	1	1	0	0	0	2	3	0	0	0
153	Joe Collins	1	On the Rocks	Tall	tall_gold	1	1	0	1	0	0	2	3	0	0	0
154	Kahlua & Cream	1	On the Rocks	Rocks	rocks_cream	3	0	0	1	0	0	0	2	0	0	3
155	Kir	1	Classic	Wine	kir	2	0	0	1	0	3	0	3	0	0	0
156	Long Beach Iced Tea	1	On the Rocks	Collins	long_beach_iced_tea	3	2	0	1	0	2	1	4	0	0	0
157	Malibu Pineapple	1	On the Rocks	Highball	highball_pineapple	4	1	0	0	0	3	0	2	0	0	0
158	Midori Margarita	1	On the Rocks, Tropical	Tall	tall_green	4	3	1	0	0	4	2	0	0	3	0
159	Cadillac Margarita	1	On the Rocks, Tropical	Tall	tall_yellow	3	3	1	0	0	3	3	0	0	3	0
160	Cranberry Margarita (Bartenders)	1	On the Rocks, Tropical	Tall	tall_red	4	3	0	0	0	4	3	0	0	3	0
161	Blue Margarita (Azul)	1	On the Rocks, Tropical	Tall	tall_blue	3	3	1	0	0	4	3	0	0	3	0
162	Strawberry Margarita	1	On the Rocks, Tropical, Popular	Tall	tall_red	4	3	0	0	0	4	2	0	0	3	0
163	Mexican Coffee	1	Hot	Mug	mug_brown	3	0	1	0	0	0	0	2	1	0	3
164	Melon Ball	1	On the Rocks, Highball	Highball	melon_ball	3	1	0	0	0	4	1	3	0	0	0
165	Mind Eraser	1	On the Rocks, Highball	Highball	mind_eraser	2	0	0	0	0	0	0	4	0	0	1
166	Brain Hemorrhage	1	Shot	Shot	brain_hemorrhage	4	0	0	0	0	3	0	3	0	0	3
167	Strawberry Pina Colada (Lava Flow)	1	Tropical, Frozen	Tall	tropical_red	4	1	0	0	0	4	0	4	0	0	1
168	Ice Bomb	1	On the Rocks, Highball, Popular	Highball	ice_bomb	4	2	0	0	0	2	0	3	0	0	0
169	Prairie Fire	1	Shot	Shot	prairie_fire	0	0	1	0	0	0	0	4	5	2	0
170	Gin Rickey	1	Highball, On the Rocks	Highball	highball_clear	0	3	1	2	0	0	1	3	0	0	0
171	Vodka Rickey	1	Highball, On the Rocks	Highball	highball_clear	0	3	1	0	0	0	1	3	0	0	0
172	Whiskey Sour	1	On the Rocks, Classic, Popular	Rocks	whiskey_sour	2	3	1	0	0	0	3	3	0	0	0
173	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
174	Snake Bite	1	On the Rocks, Highball	Highball	snake_bite	3	3	0	2	0	1	3	3	0	0	0
175	Birthday Cake Shot	1	Shot, Popular	Shot	shot_brown	3	2	0	0	0	1	2	3	0	0	0
176	Sour Appletini	1	Martini, Shaken	Martini	martini_green	3	3	1	0	0	0	3	2	0	0	0
177	Pineapple Upside-Down Cake Shot	1	Shot	Shot	shot_yellow_red	3	1	0	0	0	3	0	3	0	0	1
178	Sombrero	1	On the Rocks	Highball	highball_red	3	0	0	0	0	0	0	3	2	0	3
179	Sea Breeze	1	On the Rocks	Highball	sea_breeze	2	2	2	0	0	2	1	3	0	0	0
180	Separator	1	On the Rocks	Highball	highball_red	4	0	0	0	0	1	0	3	0	0	4
181	Dirty Shirley	1	On the Rocks	Tall	tall_red	4	1	0	0	0	3	1	3	0	0	0
182	Tequila Slammer (Popper)	1	Shot	Shot	shot_clear	1	2	2	0	0	0	0	4	0	0	0
183	Sloe Screw	1	On the Rocks, Highball	Highball	sloe_screw	4	2	0	1	0	3	0	1	0	0	0
184	Sloe Comfortable Screw	1	On the Rocks, Highball	Highball	sloe_screw	4	2	1	1	0	3	0	2	0	0	0
185	Sloe Comfortable Screw Against the Wall	1	On the Rocks, Highball	Highball	sloe_screw	4	2	1	1	0	3	0	3	0	0	0
186	Sloe Gin Fizz	1	On the Rocks, Highball	Highball	highball_red	2	2	0	1	0	1	0	3	0	0	0
187	Amaretto Stone Sour	1	On the Rocks, Highball	Highball	amaretto_sour	3	2	0	1	0	1	3	3	0	0	0
188	Surfer on Acid	1	On the Rocks	Rocks	rocks_brown	3	0	1	2	0	0	1	3	0	0	0
189	Scooby Snack	1	On the Rocks	Rocks	rocks_green	5	0	0	0	0	4	0	2	0	0	0
190	Tequila Sunset	1	On the Rocks, Popular	Collins	tequila_sunset	3	2	0	0	0	2	1	3	1	0	0
191	Vodka & Tonic	1	On the Rocks, Highball	Highball	highball_clear	2	1	1	0	0	0	0	3	0	0	0
192	Tequila & Tonic (TNT)	1	On the Rocks, Highball	Highball	highball_gold	2	1	1	0	0	0	0	3	1	0	0
193	Washington Apple	1	Shot, Popular	Shot	washington_apple	3	0	2	0	0	2	2	4	0	0	0
194	Mountain Breeze	1	On the Rocks, Popular, Highball	Tall	tropical_red	3	2	1	1	0	3	1	3	0	0	0
195	Woo Woo	1	On the Rocks	Highball	highball_red	3	1	0	0	0	3	1	3	0	0	0
196	Sloe Comfortable Mexican Screw Against the Wall	1	On the Rocks, Highball	Highball	sloe_screw	4	2	1	1	0	3	0	2	1	0	0
197	Sloe Comfortable Screw Between the Sheets	1	On the Rocks, Highball	Highball	sloe_screw	4	2	1	1	0	3	0	2	0	0	0
198	Sloe Comfortable Fuzzy Screw Against the Wall	1	On the Rocks, Highball	Highball	sloe_screw	4	2	1	1	0	4	0	2	0	0	0
199	Caribou Lou	1	On the Rocks, Highball	Highball	highball_orange	3	1	0	0	0	2	0	4	0	0	0
200	Italian Appletini	1	Martini, Shaken	Martini	martini_red	4	1	1	0	0	3	0	3	0	0	0
201	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
202	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
203	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
204	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
205	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
206	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
207	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
208	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
209	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
210	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
211	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
212	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
213	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
214	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
215	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
216	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
217	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
218	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
219	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
220	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
221	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
222	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
223	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
224	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
225	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
226	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
227	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
228	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
229	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
230	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
231	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
232	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
233	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
234	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
235	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
236	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
237	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
238	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
239	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
240	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
241	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
242	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
243	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
244	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
245	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
246	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
247	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
248	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
249	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
250	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
251	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
252	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
253	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
254	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
255	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
256	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
257	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
258	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
259	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
260	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
261	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
262	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
263	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
264	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
265	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
266	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
267	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
268	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
269	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
270	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
271	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
272	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
273	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
274	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
275	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
276	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
277	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
278	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
279	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
280	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
281	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
282	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
283	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
284	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
285	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
286	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
287	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
288	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
289	--	0	--	--	--	0	0	0	0	0	0	0	0	0	0	0
